datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2018-12-10 11:31:03-02"	ZUEC	ZUEC-POL	7429	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.									6749	"Flavio da Costa Fernandes"	1998	02	16				Brasil	"Rio de Janeiro"			0	0											1				"(Pote 1 - Prionospio sp.)"
"2018-12-10 11:32:13-02"	ZUEC	ZUEC-POL	14737	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	10	01			"HAB 17 / Foz 05 / Réplica 1+3"	"Ilana Rosental Zalmon/Equipe Habitats/Petrobras"	2009	07	19				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.973268055556	-21.673258333333											16				"Vasily ID 16137 / 2a Remessa"
"2018-12-10 11:32:13-02"	ZUEC	ZUEC-POL	14738	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	10	01			"HAB 17 / Foz 23 / Réplica 1+3"	"Ilana Rosental Zalmon/Equipe Habitats/Petrobras"	2009	07	24				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.532098888889	-22.019213888889											13				"Vasily ID 16220 / 2a Remessa"
"2018-12-10 11:32:13-02"	ZUEC	ZUEC-POL	14739	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	10	01			"HAB 17 / Foz 33 / Réplica 1+2+3"	"Ilana Rosental Zalmon/Equipe Habitats/Petrobras"	2009	07	24				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.544426666667	-22.228586111111											21				"Vasily ID 16248 / 2a Remessa"
"2018-12-10 11:32:13-02"	ZUEC	ZUEC-POL	14740	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	10	01			"HAB 17 / Foz 34 / Réplica 1+3"	"Ilana Rosental Zalmon/Equipe Habitats/Petrobras"	2009	07	24				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.337063888889	-22.022944722222											4				"Vasily ID 16254 / 2a Remessa"
"2018-12-10 11:32:13-02"	ZUEC	ZUEC-POL	14741	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	10	01			"HAB 16 / Foz 41 / Réplica 1+2+3"	"Ilana Rosental Zalmon/Equipe Habitats/Petrobras"	2009	07	08				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.234471944444	-21.754346944444											30				"Vasily ID 16263 / 2a Remessa"
"2018-12-10 11:32:13-02"	ZUEC	ZUEC-POL	14742	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	10	01			"HAB 17 / Foz 43 / Réplica 1+2+3"	"Ilana Rosental Zalmon/Equipe Habitats/Petrobras"	2009	07	24				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.235332777778	-22.208647777778											14				"Vasily ID 16271 / 2a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15058	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / G_01 / Réplica 2"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	11				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.743022222222	-21.831850555556											2				"Vasily ID 15963 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15059	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / G_02 / Réplica 1+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	06				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.419741666667	-21.984349166667											3				"Vasily ID 15966 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15060	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / G_03 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	06				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.166440555556	-22.062605833333											41				"Vasily ID 15974 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15061	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / G_04 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	06				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.116479444444	-22.060741388889											28				"Vasily ID 15979 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15062	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / G_05 / Réplica 1+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	07				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.051842777778	-22.102938611111											6				"Vasily ID 15983 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15063	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / H_01 / Réplica 1+2"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	09				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.531280277778	-21.7228525											5				"Vasily ID 15992 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15064	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / H_02 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	08				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.28763	-21.738753055556											23				"Vasily ID 16002 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15065	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / H_03 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	07				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.191884166667	-21.719665555556											17				"Vasily ID 16007 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15066	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / H_04 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	07				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.170811111111	-21.714970833333											26				"Vasily ID 16011 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15067	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 16 / H_05 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	07				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.149876944444	-21.710517777778											46				"Vasily ID 16023 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15068	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 17 / I_02 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	21				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.329008055556	-21.382973333333											44				"Vasily ID 16034 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15069	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 17 / I_03 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	21				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.2603325	-21.393911944444											41				"Vasily ID 16038 / 3a Remessa"
"2018-12-10 11:32:16-02"	ZUEC	ZUEC-POL	15070	"Prionospio sp."	PreservedSpecimen	Animalia	Annelida	Polychaeta		Spionidae	Prionospio	sp.				2010	09	01			"HAB 17 / I_04 / Réplica 1+2+3"	"Valéria Veloso/Equipe Habitats/Petrobras"	2009	07	21				Brasil	"Rio de Janeiro"		"Bacia de Campos"	-40.268549722222	-21.152695833333											30				"Vasily ID 16046 / 3a Remessa"
