datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2013-04-01 09:17:54-03"	IPT	BCTW	19443	"Inga maritima"	S	Plantae	Magnoliophyta	Magnoliopsida			Inga	maritima		Benth.	"Haroldo C. Lima"														Brasil	"Rio de Janeiro"	"Cabo Frio"	"Praia da Ilha do Japonês, ao lado do bar do Nacil"	0	0	-42.0186	-22.8794	40069												"Árvore encontrada em mata de restinga bastante alterada. Flores brancas, folhas compostas discolores, madeira dura"
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						"Herb. Fl.157"		"Martius, CFP"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						s.n.		"Weddell, HA"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						s.n.		"Miers, J"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						s.n.		"Gaudichaud Beaupré, C"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						751		"Gardner, G"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						s.n.		"Lund, PW"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						89		"Vauthier, AC"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						1379		"Glaziou, AFM"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2017-09-11 17:09:59-03"	UnB	HBVIRTFLBRAS		"Inga maritima"	O	Plantae				Fabaceae	Inga	maritima		Benth.						s.n.		"Luschnath, B"						"Southern America"	Brazil	"Rio de Janeiro"		"in maritimis alibique provinciae Rio de Janeiro"	0	0															
"2018-05-14 16:45:47-03"	F	FMNH-SEEDPLANTS	V0161383F	"Inga maritima"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Fabaceae	Inga	maritima			"RRC ID Flag"					609	609	"B. M. J. Lutz"						"South America"	Brazil	"Rio de Janeiro"			0	0															
"2018-05-14 16:29:45-03"	F	FMNH-SEEDPLANTS	V0161384F	"Inga maritima"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Fabaceae	Inga	maritima			"RRC ID Flag"					3658	3658	"D. Sucre"						"South America"	Brazil	"Rio de Janeiro"			0	0															
"2020-07-23 12:14:23-03"	CEPLAC	CEPEC	130710	"Inga maritima"	PreservedSpecimen	Plantae				Mimosaceae	Inga	maritima			"R. D. Ribeiro"					985		"R. D. Ribeiro"	1996	06	07				Brasil	"Rio de Janeiro"	"ARMAÇÃO DE BÚZIOS"	"Rasa, proximidades do Aeroporto e do Clube de Golfe."	-41.949722	-22.774722														30/12/2008	
"2020-07-23 12:14:23-03"	CEPLAC	CEPEC	133625	"Inga maritima"	PreservedSpecimen	Plantae				Mimosaceae	Inga	maritima			"R. D. Ribeiro"					1121		"R. D. Ribeiro"	2009	06	10				Brasil	"Rio de Janeiro"	"cabo frio"	"Entorno das dunas do Peró."	0	0	-42.0186004638672	-22.8794002532959	40069											30/12/2009	
"2020-07-23 12:14:23-03"	CEPLAC	CEPEC	38343	"Inga maritima"	PreservedSpecimen	Plantae				Mimosaceae	Inga	maritima			"C. Farney"					504		"C. Farney"	1985	01	01				Brasil	"Rio de Janeiro"	saquarema	"Prox. a Praia de Itauna."	0	0	-42.5102996826172	-22.9200000762939	17036											30/12/1985	
